acq_date,n
2020-01-01,3686
2020-01-02,4389
2020-01-03,4257
2020-01-04,7350
2020-01-05,913
2020-01-06,931
2020-01-07,1242
2020-01-08,1026
2020-01-09,773
2020-01-10,575
2020-01-11,1200
2020-01-12,963
2020-01-13,1973
2020-01-14,1030
2020-01-15,304
2020-01-16,250
2020-01-17,154
2020-01-18,178
2020-01-19,68
2020-01-20,74
2020-01-21,122
2020-01-22,167
2020-01-23,197
2020-01-24,177
2020-01-25,235
2020-01-26,468
2020-01-27,202
2020-01-28,411
2020-01-29,674
2020-01-30,960
2020-01-31,1980
2020-02-01,2026
2020-02-02,328
2020-02-03,625
2020-02-04,655
2020-02-05,473
2020-02-06,89
2020-02-07,250
2020-02-08,419
2020-02-09,204
2020-02-10,210
2020-02-11,105
2020-02-12,134
2020-02-13,182
2020-02-14,87
2020-02-15,94
2020-02-16,177
2020-02-17,143
2020-02-18,130
2020-02-19,60
2020-02-20,117
2020-02-21,53
2020-02-22,39
